Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,2540.0,2590.0,2530.0,2540.0,2540.0,1139420
2021-01-05,2520.0,2520.0,2480.0,2490.0,2490.0,918860
2021-01-06,2500.0,2500.0,2440.0,2440.0,2440.0,1049440
2021-01-07,2440.0,2550.0,2440.0,2510.0,2510.0,1164960
2021-01-08,2540.0,2550.0,2510.0,2520.0,2520.0,991620
2021-01-11,2530.0,2690.0,2520.0,2690.0,2690.0,2117250
2021-01-12,2870.0,2870.0,2800.0,2870.0,2870.0,2439270
2021-01-13,3070.0,3070.0,3000.0,3070.0,3070.0,2017500
2021-01-14,3100.0,3280.0,3070.0,3280.0,3280.0,4723410
2021-01-15,3490.0,3500.0,3430.0,3500.0,3500.0,1405930
2021-01-19,4000.0,4000.0,3480.0,3640.0,3640.0,9080770
2021-01-20,3800.0,3880.0,3400.0,3740.0,3740.0,3328570
2021-01-21,3900.0,4000.0,3800.0,4000.0,4000.0,3172740
2021-01-22,4280.0,4280.0,4110.0,4280.0,4280.0,5162550
2021-01-25,4390.0,4570.0,4350.0,4570.0,4570.0,3325470
2021-01-26,4880.0,4880.0,4500.0,4880.0,4880.0,5963260
2021-01-27,4700.0,5190.0,4640.0,5170.0,5170.0,3992890
2021-01-28,4810.0,5000.0,4810.0,4810.0,4810.0,2954310
2021-01-29,4480.0,4480.0,4480.0,4480.0,4480.0,723780
2021-02-01,4170.0,4170.0,4170.0,4170.0,4170.0,130790
2021-02-02,3880.0,3880.0,3880.0,3880.0,3880.0,823860
2021-02-03,3610.0,3880.0,3610.0,3610.0,3610.0,8308250
2021-02-04,3800.0,3860.0,3610.0,3860.0,3860.0,2630900
2021-02-05,4050.0,4100.0,3870.0,3920.0,3920.0,1616860
2021-02-08,3870.0,3880.0,3650.0,3650.0,3650.0,2732090
2021-02-09,3650.0,3650.0,3650.0,3650.0,3650.0,0
2021-02-10,3650.0,3650.0,3650.0,3650.0,3650.0,0
2021-02-11,3650.0,3650.0,3650.0,3650.0,3650.0,0
2021-02-12,3650.0,3650.0,3650.0,3650.0,3650.0,0
2021-02-16,3650.0,3650.0,3650.0,3650.0,3650.0,0
2021-02-17,3520.0,3740.0,3520.0,3740.0,3740.0,1789920
2021-02-18,3760.0,3850.0,3670.0,3670.0,3670.0,1717250
2021-02-19,3600.0,3680.0,3540.0,3570.0,3570.0,1378160
2021-02-22,3680.0,3680.0,3550.0,3570.0,3570.0,1178310
2021-02-23,3560.0,3600.0,3520.0,3540.0,3540.0,1453850
2021-02-24,3540.0,3540.0,3540.0,3540.0,3540.0,0
2021-02-25,3540.0,3540.0,3540.0,3540.0,3540.0,0
2021-02-26,3430.0,3490.0,3350.0,3400.0,3400.0,1261700
2021-03-01,3400.0,3460.0,3360.0,3420.0,3420.0,1561290
2021-03-02,3460.0,3500.0,3400.0,3430.0,3430.0,838970
2021-03-03,3430.0,3600.0,3410.0,3550.0,3550.0,1299060
2021-03-04,3610.0,3620.0,3450.0,3450.0,3450.0,1506230
2021-03-05,3460.0,3490.0,3410.0,3470.0,3470.0,813800
2021-03-08,3500.0,3590.0,3470.0,3530.0,3530.0,1292120
2021-03-09,3530.0,3590.0,3500.0,3560.0,3560.0,951180
2021-03-10,3600.0,3600.0,3540.0,3550.0,3550.0,871360
2021-03-11,3520.0,3540.0,3420.0,3500.0,3500.0,1530650
2021-03-12,3580.0,3700.0,3510.0,3630.0,3630.0,1819000
2021-03-15,3680.0,3880.0,3640.0,3880.0,3880.0,1705460
2021-03-16,4150.0,4150.0,3950.0,4100.0,4100.0,4621590
2021-03-17,4000.0,4100.0,3820.0,3870.0,3870.0,2873390
2021-03-18,3870.0,3980.0,3790.0,3820.0,3820.0,1640700
2021-03-19,3820.0,4040.0,3760.0,4020.0,4020.0,1735030
2021-03-22,4100.0,4300.0,4030.0,4300.0,4300.0,4475920
2021-03-23,4340.0,4600.0,4300.0,4450.0,4450.0,3367100
2021-03-24,4200.0,4600.0,4190.0,4280.0,4280.0,2328880
2021-03-25,4220.0,4350.0,4010.0,4180.0,4180.0,3311020
2021-03-26,4090.0,4360.0,4040.0,4160.0,4160.0,2510840
2021-03-29,4300.0,4450.0,4190.0,4450.0,4450.0,3376900
2021-03-30,4760.0,4760.0,4650.0,4760.0,4760.0,4139950
2021-03-31,5090.0,5090.0,4440.0,4820.0,4820.0,6977300
2021-04-01,4610.0,4710.0,4520.0,4530.0,4530.0,3174810
