Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,36100.0,36500.0,36000.0,36200.0,36200.0,1950
2021-01-05,35600.0,36000.0,35300.0,35300.0,35300.0,1150
2021-01-06,35900.0,35900.0,35000.0,35900.0,35900.0,6250
2021-01-07,35600.0,36800.0,35500.0,36700.0,36700.0,4710
2021-01-08,36700.0,37500.0,36700.0,37500.0,37500.0,9940
2021-01-11,37500.0,37800.0,37000.0,37000.0,37000.0,1530
2021-01-12,37600.0,37750.0,37000.0,37700.0,37700.0,2630
2021-01-13,38000.0,38300.0,37700.0,38200.0,38200.0,9310
2021-01-14,38000.0,38300.0,36000.0,38300.0,38300.0,3540
2021-01-15,38300.0,38300.0,36800.0,38000.0,38000.0,2740
2021-01-19,38000.0,38000.0,36750.0,37100.0,37100.0,4780
2021-01-20,37000.0,38000.0,36000.0,37400.0,37400.0,4190
2021-01-21,36800.0,37900.0,36800.0,37900.0,37900.0,1320
2021-01-22,37300.0,38000.0,37000.0,38000.0,38000.0,980
2021-01-25,38000.0,38450.0,38000.0,38000.0,38000.0,3660
2021-01-26,38000.0,38000.0,37000.0,38000.0,38000.0,2570
2021-01-27,37500.0,38000.0,37000.0,37000.0,37000.0,2960
2021-01-28,35000.0,36100.0,34450.0,35000.0,35000.0,13970
2021-01-29,35000.0,35900.0,34900.0,35000.0,35000.0,1350
2021-02-01,36500.0,36500.0,33500.0,34900.0,34900.0,1640
2021-02-02,34800.0,35500.0,33250.0,35500.0,35500.0,1470
2021-02-03,34100.0,37950.0,34100.0,37950.0,37950.0,4840
2021-02-04,40600.0,40600.0,38700.0,38700.0,38700.0,4050
2021-02-05,38700.0,40500.0,38700.0,40500.0,40500.0,10040
2021-02-08,40500.0,40500.0,38500.0,38600.0,38600.0,1070
2021-02-09,38600.0,38600.0,38600.0,38600.0,38600.0,0
2021-02-10,38600.0,38600.0,38600.0,38600.0,38600.0,0
2021-02-11,38600.0,38600.0,38600.0,38600.0,38600.0,0
2021-02-12,38600.0,38600.0,38600.0,38600.0,38600.0,0
2021-02-16,38600.0,38600.0,38600.0,38600.0,38600.0,0
2021-02-17,38000.0,39200.0,38000.0,38700.0,38700.0,3010
2021-02-18,38700.0,39000.0,38000.0,38300.0,38300.0,2970
