Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,296.0,300.0,295.0,296.0,296.0,6082
2021-01-05,298.0,299.0,292.0,298.0,298.0,6965
2021-01-06,298.0,303.0,292.0,298.0,298.0,4506
2021-01-07,295.0,308.0,292.0,295.0,295.0,8915
2021-01-11,306.0,311.0,303.0,306.0,306.0,3050
2021-01-12,301.0,310.0,301.0,301.0,301.0,8053
2021-01-13,299.0,307.0,299.0,299.0,299.0,8650
2021-01-14,299.0,299.0,299.0,299.0,299.0,0
2021-01-19,331.0,342.0,318.0,331.0,331.0,25961
2021-01-20,323.0,336.0,319.0,323.0,323.0,10953
2021-01-21,318.0,329.0,315.0,318.0,318.0,15994
2021-01-25,321.0,330.0,315.0,321.0,321.0,11349
2021-01-26,330.0,340.0,315.0,330.0,330.0,22518
2021-01-27,326.0,346.0,320.0,326.0,326.0,20753
2021-01-28,329.0,333.0,311.0,329.0,329.0,39018
2021-02-01,368.0,368.0,333.0,368.0,368.0,145551
2021-02-02,359.0,386.0,353.0,359.0,359.0,57938
2021-02-03,360.0,378.0,352.0,360.0,360.0,45048
2021-02-04,358.0,368.0,346.0,358.0,358.0,38624
2021-02-08,369.0,370.0,360.0,369.0,369.0,34695
2021-02-09,366.0,375.0,355.0,366.0,366.0,44705
2021-02-10,356.0,375.0,350.0,356.0,356.0,23315
2021-02-11,357.0,367.0,349.0,357.0,357.0,30304
2021-02-16,331.0,347.0,330.0,331.0,331.0,19920
2021-02-17,327.0,347.0,324.0,327.0,327.0,14923
2021-02-18,333.0,348.0,325.0,333.0,333.0,13865
2021-02-22,330.0,338.0,330.0,330.0,330.0,7645
2021-02-23,320.0,330.0,318.0,320.0,320.0,12465
2021-02-24,334.0,340.0,326.0,334.0,334.0,8419
2021-02-25,325.0,334.0,324.0,325.0,325.0,7658
2021-03-01,328.0,336.0,321.0,328.0,328.0,7961
2021-03-02,328.0,328.0,328.0,328.0,328.0,0
2021-03-03,317.0,320.0,311.0,317.0,317.0,12160
2021-03-04,320.0,323.0,318.0,320.0,320.0,8539
2021-03-09,319.0,330.0,310.0,319.0,319.0,8228
2021-03-10,317.0,334.0,310.0,317.0,317.0,8452
2021-03-15,303.0,313.0,301.0,303.0,303.0,10105
2021-03-16,305.0,315.0,302.0,305.0,305.0,6873
2021-03-17,312.0,313.0,302.0,312.0,312.0,6105
2021-03-18,321.0,321.0,306.0,321.0,321.0,10452
2021-03-22,312.0,315.0,311.0,312.0,312.0,2643
2021-03-23,315.0,318.0,306.0,315.0,315.0,8620
2021-03-24,330.0,346.0,317.0,330.0,330.0,44259
2021-03-25,330.0,342.0,320.0,330.0,330.0,8504
2021-03-29,325.0,334.0,320.0,325.0,325.0,3280
2021-03-30,321.0,325.0,320.0,321.0,321.0,1931
2021-03-31,319.0,332.0,317.0,319.0,319.0,9955
2021-04-01,321.0,331.0,316.0,321.0,321.0,20642
2021-04-05,319.0,326.0,318.0,319.0,319.0,14736
2021-04-06,322.0,326.0,318.0,322.0,322.0,6153
2021-04-07,332.0,332.0,316.0,332.0,332.0,20113
2021-04-08,325.0,332.0,323.0,325.0,325.0,13046
2021-04-12,321.0,325.0,320.0,321.0,321.0,5702
2021-04-13,320.0,323.0,317.0,320.0,320.0,4255
2021-04-15,321.0,324.0,319.0,321.0,321.0,6401
2021-04-19,315.0,319.0,312.0,315.0,315.0,7140
2021-04-20,310.0,315.0,306.0,310.0,310.0,27271
2021-04-21,305.0,307.0,304.0,305.0,305.0,22115
2021-04-22,305.0,306.0,301.0,305.0,305.0,6565
2021-04-26,279.0,296.0,279.0,279.0,279.0,17397
2021-04-27,280.0,282.0,277.0,280.0,280.0,9246
2021-04-28,279.0,291.0,275.0,279.0,279.0,4510
2021-04-29,282.0,283.0,279.0,282.0,282.0,6244
2021-05-03,292.0,304.0,291.0,292.0,292.0,7505
2021-05-04,296.0,298.0,288.0,296.0,296.0,1672
2021-05-05,289.0,295.0,287.0,289.0,289.0,3720
2021-05-06,287.0,292.0,287.0,287.0,287.0,2085
2021-05-10,285.0,286.0,285.0,285.0,285.0,2732
2021-05-11,285.0,287.0,280.0,285.0,285.0,3215
2021-05-12,284.0,290.0,282.0,284.0,284.0,2530
2021-05-17,291.0,292.0,285.0,291.0,291.0,9115
2021-05-18,320.0,320.0,287.0,320.0,320.0,38672
2021-05-19,333.0,352.0,325.0,333.0,333.0,125296
2021-05-20,332.0,350.0,321.0,332.0,332.0,19885
2021-05-24,324.0,332.0,321.0,324.0,324.0,31017
2021-05-25,322.0,336.0,321.0,322.0,322.0,12981
2021-05-26,322.0,322.0,322.0,322.0,322.0,0
2021-05-27,322.0,327.0,319.0,322.0,322.0,12936
2021-06-01,343.0,360.0,337.0,343.0,343.0,22246
2021-06-02,344.0,360.0,337.0,344.0,344.0,12505
2021-06-03,341.0,358.0,327.0,341.0,341.0,17689
